Wall time,Step,Value
1677902499,0,-187.6783142
1677902505,1,-113.1508942
1677902511,2,-109.8341446
1677902518,3,-61.01480484
1677902520,4,-1.296635866
1677902523,5,-4.658164024
1677902525,6,-1.704416752
1677902526,7,-0.811822534
1677902529,8,-7.323431015
1677902532,9,-25.4189682
1677902533,10,2.819844246
1677902534,11,6.025075912
1677902535,12,9.82021904
1677902537,13,4.822414875
1677902538,14,9.647216797
1677902540,15,-4.936079502
1677902541,16,2.429949522
1677902542,17,6.335655689
1677902543,18,5.983881474
1677902544,19,8.338665962
1677902545,20,8.4102211
1677902546,21,1.027941108
1677902548,22,7.537210941
1677902548,23,9.671143532
1677902550,24,2.400534868
1677902551,25,7.533326626
1677902552,26,7.069686413
1677902554,27,1.713448644
1677902556,28,7.399336338
1677902557,29,7.353766441
1677902558,30,8.730881691
1677902559,31,8.727952957
1677902559,32,9.193095207
1677902561,33,2.603713036
1677902562,34,3.920152664
1677902563,35,9.219676018
1677902564,36,5.04553175
1677902566,37,2.945999622
1677902567,38,4.16003418
1677902568,39,9.997179031
1677902570,40,5.856058598
1677902571,41,7.909026623
1677902572,42,8.112312317
1677902573,43,8.908806801
1677902575,44,-7.290586472
1677902576,45,8.53543663
1677902577,46,4.807520866
1677902578,47,-3.625839233
1677902579,48,8.34965229
1677902580,49,9.773859024
1677902581,50,9.701465607
1677902582,51,8.881953239
1677902584,52,2.627395868
1677902585,53,4.661330223
1677902586,54,9.897529602
1677902588,55,-6.630709648
1677902589,56,5.543246746
1677902590,57,4.170137882
1677902591,58,9.491283417
1677902593,59,1.29193604
1677902594,60,8.017045021
1677902596,61,1.927482367
1677902597,62,5.922264576
1677902598,63,8.505690575
1677902599,64,7.138418198
1677902600,65,10.01803207
1677902601,66,5.041788101
1677902602,67,8.222774506
1677902604,68,-1.271004677
1677902605,69,5.479492664
1677902606,70,7.575548172
1677902607,71,8.539637566
1677902608,72,10.32773113
1677902609,73,8.83856678
1677902610,74,6.276995182
1677902611,75,7.682077885
1677902612,76,7.941261292
1677902613,77,9.385287285
1677902614,78,4.808301449
1677902615,79,7.455086231
1677902616,80,9.117370605
1677902617,81,6.199558735
1677902618,82,9.878874779
1677902619,83,10.78144646
1677902620,84,2.360405207
1677902621,85,5.920260906
1677902622,86,8.593699455
1677902623,87,10.5005579
1677902625,88,6.617452621
1677902626,89,5.599645615
1677902627,90,3.526025295
1677902628,91,10.29873943
1677902629,92,8.79818821
1677902630,93,9.010393143
1677902632,94,6.979343414
1677902633,95,6.669258595
1677902634,96,5.38236618
1677902636,97,-1.076025128
1677902636,98,9.784732819
1677902637,99,10.76228046
1677902638,100,8.790781021
1677902640,101,0.808592558
1677902641,102,10.26926231
1677902642,103,7.146210194
1677902643,104,7.752554417
1677902645,105,-7.913276196
1677902646,106,9.516703606
1677902647,107,6.877002716
1677902648,108,5.245064735
1677902650,109,1.810837746
1677902651,110,7.042306423
1677902652,111,8.619070053
1677902653,112,9.15824604
1677902653,113,8.948887825
1677902654,114,9.599427223
1677902655,115,6.020920277
1677902657,116,4.79776001
1677902658,117,4.008732319
1677902659,118,8.561239243
1677902660,119,8.907296181
1677902661,120,7.095745087
1677902662,121,8.489710808
1677902663,122,5.786326408
1677902664,123,5.966700077
1677902666,124,7.741822243
1677902667,125,7.191273689
1677902668,126,6.349317551
1677902669,127,8.240785599
1677902670,128,7.813344955
1677902671,129,4.084898472
1677902673,130,6.125352383
1677902674,131,8.109622002
1677902676,132,-0.868477643
1677902677,133,3.45814395
1677902678,134,9.650519371
1677902679,135,2.793720245
1677902682,136,-1.811889529
1677902682,137,8.231105804
1677902683,138,10.30017376
1677902684,139,6.073610783
1677902685,140,10.84771347
1677902686,141,7.506678581
1677902688,142,0.475280643
1677902689,143,5.942493916
1677902691,144,-1.386896133
1677902692,145,7.69417572
1677902693,146,9.083431244
1677902694,147,6.393898487
1677902695,148,5.424205303
1677902697,149,-0.520044148
1677902698,150,3.650227785
1677902700,151,8.146019936
1677902701,152,4.099784851
