Wall time,Step,Value
1681715593.3836482,0,-91.33148956298828
1681715596.7733388,1,-134.38633728027344
1681715600.0629153,2,-125.08826446533203
1681715603.3778026,3,-159.9971160888672
1681715606.743617,4,-146.00624084472656
1681715610.1611493,5,-86.44971466064453
1681715613.529908,6,-107.62957000732422
1681715615.8427489,7,-15.650036811828613
1681715617.3413944,8,18.17439842224121
1681715620.64623,9,-45.61033630371094
1681715622.7383296,10,22.5689697265625
1681715626.167934,11,-45.49257278442383
1681715628.638902,12,2.9567108154296875
1681715629.8081222,13,22.928190231323242
1681715631.250763,14,29.271556854248047
1681715632.060763,15,18.980974197387695
1681715633.4801688,16,16.462858200073242
1681715635.147042,17,16.70426368713379
1681715636.0254428,18,26.284475326538086
1681715637.0941663,19,23.80034828186035
1681715637.8946726,20,21.075481414794922
1681715638.7879403,21,24.28374671936035
1681715640.0376298,22,31.3536376953125
1681715640.8578115,23,19.261703491210938
1681715641.6698105,24,22.26906967163086
1681715643.2493277,25,14.883691787719727
1681715644.1666863,26,25.65604591369629
1681715645.3823173,27,31.38367462158203
1681715646.7414603,28,26.23324203491211
1681715647.6056685,29,16.545795440673828
1681715648.8039675,30,36.299034118652344
1681715649.8900115,31,21.142362594604492
1681715650.9904044,32,27.2235107421875
1681715652.124661,33,30.010751724243164
1681715653.579384,34,19.3796443939209
1681715654.8812916,35,31.14055061340332
1681715655.7531648,36,22.162776947021484
1681715657.3329399,37,27.036540985107422
1681715658.5202441,38,26.106054306030273
1681715659.470894,39,23.73777198791504
1681715660.4378057,40,27.684886932373047
1681715661.2956667,41,20.660417556762695
1681715662.2879567,42,27.448083877563477
1681715663.0772064,43,18.967571258544922
1681715663.7827418,44,19.730722427368164
1681715664.4410799,45,18.938547134399414
1681715665.2722764,46,16.64938735961914
1681715666.3749459,47,22.044940948486328
1681715667.6999414,48,20.664630889892578
1681715670.7675908,49,14.857909202575684
1681715672.8619933,50,34.07260513305664
1681715679.2006497,51,-5.970663070678711
1681715680.7178833,52,26.179603576660156
1681715682.0235505,53,26.4965877532959
1681715684.1954246,54,24.129281997680664
1681715685.9069383,55,28.082550048828125
1681715687.3780398,56,25.582199096679688
1681715689.1291459,57,29.6652889251709
1681715690.5588272,58,20.92194938659668
1681715691.9580467,59,21.68601417541504
1681715693.0567012,60,21.047679901123047
1681715694.1260726,61,21.478960037231445
1681715695.2068245,62,20.845361709594727
1681715696.1631534,63,15.840678215026855
1681715697.4353914,64,25.72895622253418
1681715698.2785983,65,12.783388137817383
1681715699.5260746,66,25.974197387695312
1681715700.8112817,67,29.35369300842285
1681715701.8692822,68,23.003536224365234
1681715703.1813734,69,29.11624526977539
1681715704.2930562,70,25.617389678955078
1681715705.5937748,71,29.445920944213867
1681715706.8849394,72,30.38916015625
1681715708.089732,73,28.22777557373047
1681715709.7444854,74,24.192546844482422
1681715710.9403224,75,25.62921142578125
1681715711.9152198,76,16.74051284790039
1681715712.989457,77,23.106239318847656
1681715714.2244759,78,28.198192596435547
1681715715.4962094,79,24.139726638793945
1681715716.5829017,80,20.679733276367188
1681715717.5650597,81,17.703561782836914
1681715718.717062,82,24.444156646728516
1681715719.8648357,83,23.16709327697754
1681715720.9684978,84,18.820016860961914
1681715722.2978892,85,28.854171752929688
1681715723.4643514,86,23.091772079467773
1681715724.4275792,87,14.17198371887207
1681715725.4813116,88,19.299524307250977
1681715726.4345796,89,20.249765396118164
1681715727.6012769,90,26.23050880432129
1681715728.788382,91,27.62701416015625
1681715729.877582,92,24.28003692626953
1681715731.0434377,93,23.397958755493164
1681715732.0461247,94,21.413679122924805
1681715733.1343513,95,19.2844295501709
1681715734.3663526,96,27.884275436401367
1681715735.5412433,97,22.5374755859375
1681715736.727936,98,25.646936416625977
1681715737.8064635,99,20.70665168762207
1681715741.431374,100,-0.1526108682155609
1681715742.6655593,101,23.45796775817871
1681715743.928896,102,26.693464279174805
1681715745.1715965,103,24.284727096557617
1681715746.3978157,104,27.218782424926758
1681715748.0394988,105,24.489681243896484
1681715749.1894255,106,23.53474998474121
1681715750.1050951,107,14.904525756835938
1681715751.1540642,108,21.461254119873047
1681715752.6861222,109,28.836671829223633
1681715754.1933846,110,22.99880027770996
1681715755.0968924,111,15.058830261230469
1681715756.4141815,112,27.332504272460938
1681715757.2800605,113,21.909210205078125
1681715758.1514792,114,24.555665969848633
1681715759.0470002,115,25.716026306152344
1681715759.9701612,116,25.190065383911133
1681715760.9788089,117,29.052833557128906
1681715761.9753172,118,29.779865264892578
1681715762.7561228,119,16.338071823120117
1681715763.7845507,120,29.335756301879883
1681715764.7081466,121,23.287572860717773
1681715766.3501558,122,23.850133895874023
1681715767.3551636,123,29.77730369567871
1681715768.2223346,124,19.13286781311035
1681715769.241569,125,26.201608657836914
1681715770.0620728,126,18.039384841918945
1681715771.1286745,127,29.378267288208008
1681715772.0733979,128,22.715730667114258
1681715773.0001628,129,24.421205520629883
1681715773.9513457,130,27.335338592529297
1681715775.008118,131,33.622291564941406
1681715775.9386876,132,20.246131896972656
1681715776.8239207,133,25.062671661376953
1681715777.9050665,134,28.94097328186035
1681715778.9169056,135,25.65069580078125
1681715779.7341526,136,19.700204849243164
