Wall time,Step,Value
1677905522.9622943,596,-18.13265037536621
1677905530.5280228,597,-49.37872314453125
1677905531.290163,598,9.642074584960938
1677905540.4333088,600,-88.63346862792969
1677905547.9574273,602,-28.597923278808594
1677905550.1664677,603,-4.119911193847656
1677905554.277937,604,-19.880693435668945
1677905557.2345693,606,5.0387444496154785
1677905563.4276845,608,5.6727752685546875
1677905572.3409472,610,7.337604522705078
1677905574.1207867,611,-2.798553943634033
1677905577.816255,612,-19.520519256591797
1677905589.0540035,615,-70.73534393310547
1677905595.96789,619,-0.2866143584251404
1677905597.8952556,620,-5.858001708984375
1677905602.006637,622,-17.44458770751953
1677905603.1432433,623,4.196750164031982
1677905606.1517506,625,5.935591697692871
1677905618.1433659,629,-9.128100395202637
1677905619.4708745,630,5.978856086730957
1677905624.424063,632,-15.370508193969727
1677905633.1103382,634,-103.77166748046875
1677905649.4964702,638,8.84085750579834
1677905663.683374,641,-17.85427474975586
1677905665.6350548,642,-6.965982437133789
1677905673.2595878,644,-71.10722351074219
1677905674.1853023,645,8.652470588684082
1677905680.7495103,646,-50.30929183959961
1677905686.3363013,647,-53.67760467529297
1677905693.2015462,648,-75.59947204589844
1677905696.1893494,649,-27.708576202392578
1677905697.5212882,650,4.450395107269287
1677905699.0656097,651,0.6973522305488586
1677905701.3890715,652,-8.999076843261719
1677905711.794505,656,8.121519088745117
1677905713.5470872,657,-2.8249399662017822
1677905715.485856,659,7.233180999755859
1677905723.3483908,661,7.69330358505249
1677905724.9156249,662,-0.5839311480522156
1677905731.3496647,663,-38.7765998840332
1677905732.7941854,664,3.5305988788604736
1677905733.6222305,665,10.201842308044434
1677905734.4740841,666,9.15047550201416
1677905738.1636748,667,-20.490135192871094
1677905742.3070962,668,-40.806636810302734
1677905743.5746741,669,5.080145835876465
1677905746.227332,671,2.9593143463134766
1677905748.0147777,672,2.4228909015655518
1677905749.0455992,673,8.738022804260254
1677905750.2179437,674,5.853945732116699
1677905751.7573538,675,-2.566129207611084
1677905762.8411067,677,-44.625980377197266
1677905764.664114,678,-2.991159439086914
1677905767.506411,679,-15.885980606079102
1677905775.5797613,681,4.899217128753662
1677905778.369302,682,-11.88097095489502
1677905779.5164728,683,5.170952796936035
1677905780.5947926,684,5.273202896118164
1677905782.5260243,685,0.797866940498352
1677905788.1997912,686,-47.516571044921875
1677905789.9897006,687,-4.3986382484436035
1677905795.803932,688,-69.47166442871094
1677905797.1864448,689,6.379153728485107
1677905802.1562421,692,0.28334948420524597
1677905806.9060535,694,7.239065647125244
1677905814.2888381,696,-84.90283203125
1677905824.1461804,699,-0.24101895093917847
1677905826.1648295,700,-9.40361213684082
1677905832.495458,701,-50.61843490600586
1677905833.7514384,702,4.639812469482422
1677905835.7318811,703,-5.568759918212891
1677905842.2500398,704,-43.77982711791992
1677905844.4051325,705,-3.924104690551758
