Wall time,Step,Value
1678078753.3731344,5,6.5227837562561035
1678078759.054699,6,37.01139831542969
1678078790.6034455,10,31.49338150024414
1678078800.2562215,11,34.709774017333984
1678078816.4597452,13,17.99285316467285
1678078826.6621726,14,39.88330841064453
1678078838.0381706,15,44.35246276855469
1678078862.804001,18,46.49985122680664
1678078864.1705317,19,2.177736759185791
1678078873.4703944,20,40.33454895019531
1678078907.3694055,24,46.86128616333008
1678078974.885582,33,37.99836349487305
1678078982.579457,34,51.717464447021484
1678078993.1188512,36,10.062959671020508
1678079017.3031728,40,52.92188262939453
1678079025.5365338,42,24.628572463989258
1678079037.8360198,44,36.21854019165039
1678079047.0346644,45,68.57073974609375
1678079061.5863826,47,71.1378402709961
1678079069.83542,49,10.401471138000488
1678079079.0862722,50,89.56912994384766
1678079096.046652,53,58.20600891113281
1678079098.5864072,54,15.392608642578125
1678079103.1870346,55,48.28801727294922
1678079112.319005,56,101.75519561767578
1678079121.486758,57,102.91510772705078
1678079142.4660213,61,66.22402954101562
1678079149.5184422,63,34.01459884643555
1678079164.2646194,65,86.68453216552734
1678079166.6363044,66,21.991430282592773
1678079170.9865758,67,51.84032440185547
1678079179.316034,68,108.42021179199219
1678079192.6029155,71,81.4327163696289
1678079195.6539762,72,35.79164505004883
1678079201.3879843,73,65.4977035522461
1678079207.6175241,74,74.08511352539062
1678079240.1136625,79,20.20525550842285
1678079268.7689714,84,134.3999786376953
1678079277.8003407,85,112.32009887695312
1678079282.1395788,86,50.81440353393555
1678079290.5684352,87,114.70838928222656
1678079300.02896,88,123.14214324951172
1678079304.719296,89,62.27317428588867
1678079342.701466,94,46.11970138549805
1678079399.5601456,102,93.25897979736328
1678079420.9752073,105,119.8554458618164
1678079425.1495805,106,49.9288444519043
1678079461.9833877,113,63.77352523803711
1678079481.8864222,116,103.3617935180664
1678079492.0674355,118,44.672401428222656
1678079530.749874,124,133.50656127929688
1678079534.101997,125,39.24834442138672
1678079537.5675426,126,33.44596481323242
1678079553.6686587,129,30.72986602783203
1678079556.5008113,130,31.589275360107422
1678079602.4230242,137,71.06912231445312
1678079615.9697697,139,67.79120635986328
1678079628.1516945,141,26.364582061767578
1678079631.88468,142,38.343448638916016
1678079635.1852436,143,36.92665100097656
1678079644.3503077,144,126.93391418457031
1678079674.6986718,150,35.51096725463867
1678079685.8006375,153,44.857215881347656
1678079692.4843342,155,48.13971710205078
1678079702.1840203,157,80.47233581542969
1678079710.9419844,158,121.71315002441406
1678079720.8333743,159,123.2029800415039
1678079741.042343,162,35.83263397216797
1678079755.7445343,165,33.9619140625
1678079768.1333644,167,143.726318359375
1678079777.3064344,168,148.972412109375
1678079795.033208,171,43.73923110961914
1678079829.4108732,176,140.42401123046875
1678079834.276932,177,62.301395416259766
1678079843.4656947,178,136.74546813964844
1678079856.250017,180,152.92723083496094
1678079879.7015615,183,134.2044219970703
1678079893.6327882,185,67.10980987548828
1678079900.0501962,186,102.75347900390625
1678079916.260237,188,99.21842956542969
1678079921.6672602,190,17.062753677368164
1678079925.951136,191,58.26697540283203
1678079962.5179405,198,58.606239318847656
1678080000.451872,206,77.09310150146484
1678080003.3081014,207,34.609561920166016
1678080009.9748104,208,102.26089477539062
1678080025.6755648,212,117.82196807861328
1678080042.9598086,215,53.65155029296875
1678080065.6651845,218,127.38250732421875
1678080086.9996634,222,149.9173583984375
1678080090.5657058,223,55.168643951416016
1678080098.0132658,225,65.6431884765625
1678080101.0003674,226,37.89748764038086
1678080104.8335526,227,53.86668014526367
1678080121.0830393,229,162.48049926757812
1678080147.9825935,232,145.99508666992188
1678080157.0759797,233,144.14654541015625
1678080162.1647744,234,78.7793960571289
1678080178.499719,237,61.74116897583008
1678080244.9608996,247,105.17998504638672
1678080255.8820267,249,51.939453125
1678080284.1479363,255,25.209394454956055
1678080296.6582801,258,90.81198120117188
1678080299.2739499,259,28.052932739257812
1678080302.1095338,260,34.03865432739258
1678080308.4082644,261,93.31805419921875
1678080319.2746832,263,131.76144409179688
1678080342.7811623,267,102.44692993164062
1678080352.1143324,269,82.14472198486328
1678080366.4567792,271,165.64224243164062
1678080377.9328637,273,28.074302673339844
1678080399.424742,278,67.50442504882812
1678080411.3130584,280,122.51512145996094
1678080433.7490027,284,127.1324462890625
1678080460.4840388,289,79.18141174316406
1678080467.5309672,291,52.6439094543457
1678080471.6162624,292,59.90738296508789
1678080495.1152837,297,150.1024627685547
1678080497.6883664,298,37.061500549316406
1678080502.5063283,299,81.66536712646484
1678080515.3985837,301,113.22819519042969
1678080524.3675394,302,148.1417694091797
1678080533.64886,303,165.40765380859375
1678080564.214401,307,169.835205078125
1678080570.207981,308,85.9367446899414
1678080587.080478,310,122.67304992675781
1678080604.5473413,313,48.26131057739258
1678080630.6453602,317,149.919189453125
1678080639.8654776,318,159.04661560058594
1678080646.3318467,319,101.56538391113281
1678080647.7251334,320,14.049260139465332
1678080662.342576,322,77.94857025146484
1678080673.4670439,325,47.83418273925781
1678080677.572757,326,69.04424285888672
1678080684.529341,327,113.77637481689453
1678080703.8481703,330,102.86595153808594
1678080713.2626958,331,145.8083953857422
1678080723.972175,333,124.1819076538086
1678080764.4408052,339,111.59367370605469
1678080775.2306545,341,41.873104095458984
1678080800.717365,344,155.61685180664062
1678080802.6490822,345,25.574602127075195
1678080814.1808007,347,48.4387321472168
1678080817.5323708,348,51.2563362121582
1678080838.3132656,353,94.64330291748047
1678080841.857035,354,51.262203216552734
1678080854.855364,356,89.3575439453125
1678080858.4927816,358,34.01026153564453
1678080862.2235622,359,76.62380981445312
1678080865.2235272,360,56.1234245300293
1678080877.660672,363,108.1187515258789
1678080895.1375358,367,67.04531860351562
1678080908.5525858,370,108.92324829101562
1678080909.5572536,371,10.570125579833984
1678080917.25574,373,82.0461654663086
1678080940.6113803,377,174.06753540039062
1678080943.004697,378,56.76414489746094
1678080946.8535304,379,66.36900329589844
1678080958.4868364,381,73.10358428955078
1678080966.7355292,382,159.48101806640625
1678080996.6324437,386,173.96421813964844
1678081004.6391664,387,168.90737915039062
1678081007.5946834,388,45.19649887084961
1678081011.3452468,390,29.505748748779297
1678081014.4076974,391,56.221805572509766
1678081018.2638545,392,77.41117095947266
1678081025.586299,393,123.62873077392578
1678081051.5012279,402,76.58734893798828
1678081054.993372,403,49.46159744262695
1678081087.8622088,408,153.0321044921875
1678081109.9014423,415,47.45309066772461
1678081115.233025,416,115.64159393310547
1678081126.8206108,420,46.18783187866211
1678081134.6191568,421,166.9108428955078
1678081136.221515,422,21.8333740234375
1678081143.5147688,424,79.24171447753906
1678081151.539919,426,90.0163803100586
1678081173.093452,430,128.56105041503906
1678081216.9564476,439,137.43185424804688
1678081224.764456,440,181.97384643554688
1678081226.128497,441,21.02372932434082
1678081229.2447581,442,68.95506286621094
1678081247.8603933,445,165.47434997558594
1678081280.2105927,451,58.82123565673828
1678081319.0118122,458,125.94977569580078
1678081324.9033196,459,112.47285461425781
1678081328.5236182,460,68.17073822021484
1678081334.32699,461,132.25030517578125
1678081343.8070574,463,74.2279052734375
1678081346.2075562,464,43.53286361694336
1678081357.472576,467,79.19032287597656
1678081361.5285165,468,97.07434844970703
1678081366.4031153,469,116.00987243652344
1678081380.768704,473,51.3935546875
1678081382.3747494,474,23.124711990356445
1678081404.794216,478,157.2899932861328
1678081445.3781266,485,146.9945068359375
1678081461.928347,488,158.9679412841797
1678081469.901486,489,167.6571807861328
1678081481.360385,491,59.38810729980469
1678081493.1036253,493,186.8204803466797
1678081508.6134121,496,65.98776245117188
1678081567.1692429,507,51.57008361816406
1678081583.619501,510,62.161537170410156
1678081586.4888513,511,54.90498352050781
1678081592.235273,512,110.7870864868164
1678081599.8877933,514,77.05017852783203
1678081610.2763371,516,30.295543670654297
1678081617.8036969,517,165.858154296875
1678081627.7874532,519,91.25593566894531
1678081647.2805457,524,181.7479705810547
1678081656.1134765,525,173.5871124267578
1678081694.2889552,531,191.19961547851562
1678081703.5970402,533,94.59402465820312
1678081705.6308753,534,33.25631332397461
1678081710.9299238,535,116.58597564697266
1678081712.8276079,536,29.646209716796875
1678081715.7345424,537,52.01871871948242
1678081718.8667383,538,61.45692825317383
1678081720.1737657,539,15.717151641845703
1678081724.775916,540,104.50468444824219
1678081725.5709789,541,1.1051689386367798
1678081727.813887,542,32.309810638427734
1678081734.4195404,544,67.8330078125
1678081741.9216938,547,71.2552719116211
1678081747.169243,548,108.89926147460938
1678081750.2854548,549,50.665130615234375
1678081760.7162898,551,47.42908477783203
1678081778.3044589,555,35.86163330078125
1678081782.2621243,557,58.270015716552734
1678081789.5021217,559,39.08976364135742
1678081797.989274,563,45.464271545410156
1678081802.715551,564,105.6059799194336
